category,material_cost,labor_hours,craft_complexity,selling_price,demand_score
Zari Work,811.63,28.9,3,5103.44,91
Zari Work,1906.36,7.8,1,3716.87,43
Woodcraft,1490.79,23.9,1,4647.45,61
Terracotta,1237.45,25.1,3,4794.25,65
Terracotta,396.44,18.1,1,2822.46,88
Madhubani,396.39,30.0,4,5066.88,82
Terracotta,210.36,37.5,5,5669.49,75
Woodcraft,1745.73,37.2,1,6078.69,97
Madhubani,1242.12,19.1,4,5027.24,52
Madhubani,1445.34,6.3,2,2704.38,91
Zari Work,139.11,39.4,4,6159.72,97
Zari Work,1942.83,33.9,5,6646.45,71
Terracotta,1681.64,6.7,4,3922.85,56
Madhubani,503.44,37.0,3,5030.75,80
Zari Work,445.47,35.1,5,6191.66,75
Woodcraft,448.47,21.7,2,3484.92,94
Zari Work,678.06,24.5,3,3967.15,85
Zari Work,1097.04,17.2,4,4059.31,58
Madhubani,920.7,4.1,5,2444.45,97
Madhubani,653.34,14.7,2,2738.33,74
Brassware,1262.52,32.5,3,6653.3,85
Woodcraft,365.04,2.2,2,1105.0,79
Madhubani,655.07,14.7,4,3571.49,95
Terracotta,796.09,17.1,2,3539.65,98
Woodcraft,966.53,22.4,1,4240.65,67
Woodcraft,1591.83,37.0,3,6384.97,40
Madhubani,479.38,15.2,2,2616.09,81
Woodcraft,1077.05,15.2,4,4218.54,57
Madhubani,1225.59,30.0,4,6525.66,87
Zari Work,188.26,19.2,2,2721.6,79
Brassware,1254.34,10.5,4,3451.18,72
Zari Work,424.0,19.2,5,3748.15,51
Madhubani,223.6,7.4,5,2363.3,47
Madhubani,1902.88,8.7,5,4228.8,63
Zari Work,1934.7,20.9,1,5049.08,55
Terracotta,1635.95,17.9,2,5030.06,89
Terracotta,678.77,36.8,1,4761.8,43
Terracotta,285.58,15.8,4,2678.21,77
Madhubani,1400.04,24.1,1,4946.36,83
Woodcraft,936.29,26.0,4,5516.25,66
Madhubani,331.87,2.5,4,1413.04,48
Woodcraft,1040.84,27.2,3,5086.29,86
